anchor_question,rule_count_gain10,rule_count_gain15,best_gain_40_pct,median_gain_40_pct,top3_avg_gain_40_pct,top_rule_target,top_rule_condition,top_rule_support_count,top_rule_target_window
44,27,22,32.99,10.02,31.13,45,band20=0-20%,13,60-100%
37,21,14,38.86,7.93,34.01,38,band20=40-60%,13,0-40%
43,18,13,39.77,8.23,35.03,44,band20=60-80%,13,0-40%
42,19,12,39.77,6.11,35.2,44,band20=20-40%,13,0-40%
38,25,12,34.68,9.04,33.35,37,band20=60-80%,13,10-50%
40,18,10,44.82,6.01,35.96,41,band20=60-80%,9,10-50%
39,15,9,55.93,7.83,42.51,41,band20=0-20%,8,60-100%
45,16,8,27.54,5.93,25.08,42,band20=20-40%,8,40-80%
41,11,6,40.04,5.19,36.45,42,band20=60-80%,8,0-40%
36,12,5,29.87,7.1,27.4,37,half=后半区,16,10-50%
