file,title,question_number,answer_letter,paragraph_position_pct,paragraph_count,source_type
2016年12月英语六级真题(第1套).pdf,Are We in an Innovation Lull?,36,D,29.17,12,manual
2016年12月英语六级真题(第1套).pdf,Are We in an Innovation Lull?,37,K,87.5,12,manual
2016年12月英语六级真题(第1套).pdf,Are We in an Innovation Lull?,38,B,12.5,12,manual
2016年12月英语六级真题(第1套).pdf,Are We in an Innovation Lull?,39,L,95.83,12,manual
2016年12月英语六级真题(第1套).pdf,Are We in an Innovation Lull?,40,F,45.83,12,manual
2016年12月英语六级真题(第1套).pdf,Are We in an Innovation Lull?,41,A,4.17,12,manual
2016年12月英语六级真题(第1套).pdf,Are We in an Innovation Lull?,42,H,62.5,12,manual
2016年12月英语六级真题(第1套).pdf,Are We in an Innovation Lull?,43,E,37.5,12,manual
2016年12月英语六级真题(第1套).pdf,Are We in an Innovation Lull?,44,I,70.83,12,manual
2016年12月英语六级真题(第1套).pdf,Are We in an Innovation Lull?,45,C,20.83,12,manual
2016年12月英语六级真题(第2套).pdf,Countries Rush for Upper Hand in Antarctica,36,J,55.88,17,manual
2016年12月英语六级真题(第2套).pdf,Countries Rush for Upper Hand in Antarctica,37,C,14.71,17,manual
2016年12月英语六级真题(第2套).pdf,Countries Rush for Upper Hand in Antarctica,38,E,26.47,17,manual
2016年12月英语六级真题(第2套).pdf,Countries Rush for Upper Hand in Antarctica,39,G,38.24,17,manual
2016年12月英语六级真题(第2套).pdf,Countries Rush for Upper Hand in Antarctica,40,D,20.59,17,manual
2016年12月英语六级真题(第2套).pdf,Countries Rush for Upper Hand in Antarctica,41,I,50.0,17,manual
2016年12月英语六级真题(第2套).pdf,Countries Rush for Upper Hand in Antarctica,42,B,8.82,17,manual
2016年12月英语六级真题(第2套).pdf,Countries Rush for Upper Hand in Antarctica,43,H,44.12,17,manual
2016年12月英语六级真题(第2套).pdf,Countries Rush for Upper Hand in Antarctica,44,Q,97.06,17,manual
2016年12月英语六级真题(第2套).pdf,Countries Rush for Upper Hand in Antarctica,45,L,67.65,17,manual
2016年12月英语六级真题(第3套).pdf,The American Workplace Is Broken. Here's How We Can Start Fixing It.,36,F,42.31,13,manual
2016年12月英语六级真题(第3套).pdf,The American Workplace Is Broken. Here's How We Can Start Fixing It.,37,B,11.54,13,manual
2016年12月英语六级真题(第3套).pdf,The American Workplace Is Broken. Here's How We Can Start Fixing It.,38,M,96.15,13,manual
2016年12月英语六级真题(第3套).pdf,The American Workplace Is Broken. Here's How We Can Start Fixing It.,39,H,57.69,13,manual
2016年12月英语六级真题(第3套).pdf,The American Workplace Is Broken. Here's How We Can Start Fixing It.,40,E,34.62,13,manual
2016年12月英语六级真题(第3套).pdf,The American Workplace Is Broken. Here's How We Can Start Fixing It.,41,K,80.77,13,manual
2016年12月英语六级真题(第3套).pdf,The American Workplace Is Broken. Here's How We Can Start Fixing It.,42,C,19.23,13,manual
2016年12月英语六级真题(第3套).pdf,The American Workplace Is Broken. Here's How We Can Start Fixing It.,43,J,73.08,13,manual
2016年12月英语六级真题(第3套).pdf,The American Workplace Is Broken. Here's How We Can Start Fixing It.,44,D,26.92,13,manual
2016年12月英语六级真题(第3套).pdf,The American Workplace Is Broken. Here's How We Can Start Fixing It.,45,B,11.54,13,manual
2016年6月英语六级真题(第1套).pdf,Can Societies Be Rich and Green?,36,I,56.67,15,manual
2016年6月英语六级真题(第1套).pdf,Can Societies Be Rich and Green?,37,C,16.67,15,manual
