question_number,count,earliest_pct,top2_earliest_pct,top3_earliest_pct,latest_pct,top2_latest_pct,top3_latest_pct,median_rank,mean_rank,most_common_rank,most_common_rank_pct,second_common_rank,second_common_rank_pct,third_common_rank,third_common_rank_pct
36,59,0.0,11.86,28.81,0.0,5.08,11.86,5.0,4.83,4,18.64,3,16.95,5,16.95
37,59,10.17,28.81,42.37,0.0,8.47,25.42,5.0,4.81,2,18.64,8,16.95,3,13.56
38,59,22.03,27.12,44.07,10.17,20.34,33.9,5.0,5.17,1,22.03,3,16.95,8,13.56
39,59,11.86,16.95,25.42,6.78,13.56,27.12,5.0,5.19,4,22.03,8,13.56,5,11.86
40,59,10.17,20.34,30.51,13.56,20.34,30.51,5.0,5.51,5,15.25,6,15.25,10,13.56
41,59,8.47,11.86,23.73,20.34,32.2,37.29,7.0,6.27,10,20.34,7,13.56,3,11.86
42,59,11.86,27.12,33.9,10.17,16.95,20.34,5.0,5.15,7,22.03,2,15.25,1,11.86
43,59,13.56,22.03,22.03,15.25,22.03,37.29,7.0,6.1,6,15.25,8,15.25,10,15.25
44,59,10.17,25.42,30.51,13.56,22.03,28.81,4.0,5.17,4,23.73,2,15.25,10,13.56
45,59,3.39,8.47,18.64,10.17,32.2,47.46,7.0,6.68,9,22.03,7,15.25,8,15.25
