question_number,dominant_10_band,dominant_10_band_pct,secondary_10_band,secondary_10_band_pct,dominant_gap_10_pct,band_entropy_10
36,40-50%,23.73,20-30%,22.03,1.69,0.8519
37,10-20%,23.73,70-80%,18.64,5.08,0.8787
38,0-10%,16.95,20-30%,15.25,1.69,0.9576
39,20-30%,20.34,30-40%,18.64,1.69,0.9386
40,40-50%,18.64,10-20%,11.86,6.78,0.9724
41,40-50%,22.03,80-90%,18.64,3.39,0.9166
42,10-20%,13.56,0-10%,11.86,1.69,0.9859
43,90-100%,15.25,50-60%,15.25,0.0,0.9579
44,30-40%,16.95,20-30%,13.56,3.39,0.9717
45,60-70%,20.34,80-90%,20.34,0.0,0.9286
