question_number,min,q1,median,q3,iqr,variance,std,max,count,dominant_band,dominant_band_count,dominant_band_pct,secondary_band,secondary_band_count,secondary_band_pct,dominant_gap_pct,band_entropy_20,dominant_10_band,dominant_10_band_pct,secondary_10_band,secondary_10_band_pct,dominant_gap_10_pct,band_entropy_10
36,15.62,29.17,40.91,53.870000000000005,24.700000000000003,349.87236884862654,18.704875536838692,91.67,59,20-40%,23,38.98,40-60%,19,32.2,6.78,0.8618,40-50%,23.73,20-30%,22.03,1.69,0.8519
37,3.12,18.545,43.33,69.09,50.545,680.7353140853302,26.090904815382125,90.0,59,0-20%,17,28.81,60-80%,16,27.12,1.69,0.9308,10-20%,23.73,70-80%,18.64,5.08,0.8787
38,2.78,16.145,46.43,74.265,58.120000000000005,973.1999302746931,31.19615249152839,96.43,59,0-20%,17,28.81,60-80%,13,22.03,6.78,0.9819,0-10%,16.95,20-30%,15.25,1.69,0.9576
39,3.12,26.92,39.29,64.35499999999999,37.43499999999999,682.3294400350674,26.121436408342237,96.67,59,20-40%,23,38.98,40-60%,12,20.34,18.64,0.9291,20-30%,20.34,30-40%,18.64,1.69,0.9386
40,3.12,22.73,45.83,70.0,47.269999999999996,816.4171484511982,28.57301433960369,97.22,59,40-60%,17,28.81,20-40%,12,20.34,8.47,0.9837,40-50%,18.64,10-20%,11.86,6.78,0.9724
41,3.33,32.19,53.57,81.455,49.265,809.9707827586205,28.459985642277132,96.88,59,80-100%,18,30.51,40-60%,17,28.81,1.69,0.9515,40-50%,22.03,80-90%,18.64,3.39,0.9166
42,4.17,20.98,41.67,64.35499999999999,43.374999999999986,768.278073348919,27.71782952088635,96.43,59,0-20%,15,25.42,20-40%,13,22.03,3.39,0.9831,10-20%,13.56,0-10%,11.86,1.69,0.9859
43,3.33,37.085,58.33,77.39500000000001,40.31000000000001,835.4823357685565,28.904711307476443,96.88,59,40-60%,16,27.12,80-100%,13,22.03,5.08,0.9653,90-100%,15.25,50-60%,15.25,0.0,0.9579
44,3.33,23.439999999999998,37.5,73.75,50.31,854.7453457042667,29.236028213563255,97.06,59,20-40%,18,30.51,0-20%,13,22.03,8.47,0.9647,30-40%,16.95,20-30%,13.56,3.39,0.9717
45,5.0,41.61,63.33,81.455,39.845,649.5702683226187,25.48666844298444,96.67,59,60-80%,18,30.51,80-100%,16,27.12,3.39,0.9445,60-70%,20.34,80-90%,20.34,0.0,0.9286
