question_number,count,top2_20_band_coverage_pct,best_contiguous_40_window,best_contiguous_40_coverage_pct,best_contiguous_60_window,best_contiguous_60_coverage_pct,best_contiguous_30_window,best_contiguous_30_coverage_pct,best_contiguous_50_window,best_contiguous_50_coverage_pct,avg_neighbor_spearman,avg_neighbor_within_2_paragraph_pct,avg_neighbor_order_metric
36,59,71.19,20-60%,71.19,20-80%,84.75,20-50%,62.71,10-60%,81.36,-0.4178,5.08,47.46
37,59,55.93,40-80%,49.15,0-60%,67.8,0-30%,40.68,0-50%,62.71,-0.4043,7.62,47.46
38,59,50.85,0-40%,45.76,0-60%,62.71,0-30%,44.07,0-50%,54.24,-0.4043,9.32,45.76
39,59,59.32,20-60%,59.32,20-80%,76.27,20-50%,49.15,20-70%,66.1,-0.3714,9.32,46.61
40,59,49.15,20-60%,49.15,0-60%,67.8,20-50%,38.98,10-60%,61.02,-0.2826,7.62,53.39
41,59,59.32,20-60%,44.07,40-100%,72.88,20-50%,37.29,40-90%,61.02,-0.3264,6.78,47.46
42,59,47.46,0-40%,47.46,0-60%,67.8,0-30%,35.59,0-50%,59.32,-0.411,10.16,46.61
43,59,49.15,40-80%,49.15,40-100%,71.19,50-80%,37.29,50-100%,59.32,-0.413,5.93,47.46
44,59,52.54,0-40%,52.54,0-60%,69.49,10-40%,42.37,0-50%,61.02,-0.4555,3.39,49.15
45,59,57.63,60-100%,57.63,40-100%,77.97,60-90%,50.85,40-90%,71.19,-0.4947,6.78,59.32
