title,review_file,current_answers,verified_answers,changed
Can Societies Be Rich and Green?,batch1_review.md,36:I 37:C 38:L 39:D 40:K 41:E 42:G 43:A 44:N 45:J,36:I 37:C 38:L 39:D 40:K 41:E 42:G 43:A 44:N 45:J,no
Reform and Medical Costs,batch1_review.md,36:F 37:J 38:A 39:G 40:L 41:H 42:C 43:I 44:P 45:K,36:F 37:J 38:A 39:G 40:L 41:H 42:C 43:I 44:P 45:K,no
The Changing Generation,batch1_review.md,36:I 37:B 38:F 39:D 40:C 41:K 42:A 43:L 44:E 45:J,36:I 37:B 38:F 39:D 40:C 41:K 42:A 43:L 44:E 45:J,no
Are We in an Innovation Lull?,batch1_review.md,36:D 37:K 38:B 39:L 40:F 41:A 42:H 43:E 44:I 45:C,36:D 37:K 38:B 39:L 40:F 41:A 42:H 43:E 44:I 45:C,no
Countries Rush for Upper Hand in Antarctica,batch1_review.md,36:J 37:C 38:E 39:G 40:D 41:I 42:B 43:H 44:Q 45:L,36:J 37:C 38:E 39:G 40:D 41:I 42:B 43:H 44:Q 45:L,no
The American Workplace Is Broken. Here's How We Can Start Fixing It.,batch1_review.md,36:F 37:B 38:M 39:H 40:E 41:K 42:C 43:J 44:D 45:B,36:F 37:B 38:M 39:H 40:E 41:K 42:C 43:J 44:D 45:B,no
Rich Children and Poor Ones Are Raised Very Differently,batch1_review.md,36:G 37:F 38:M 39:D 40:G 41:O 42:K 43:H 44:B 45:P,36:G 37:F 38:M 39:D 40:G 41:O 42:K 43:H 44:B 45:P,no
Elite Math Competitions Struggle to Diversify Their Talent Pool,batch1_review.md,36:F 37:A 38:I 39:G 40:L 41:E 42:J 43:B 44:M 45:H,36:F 37:A 38:I 39:G 40:L 41:E 42:J 43:B 44:M 45:H,no
The Price of Oil and the Price of Carbon,batch1_review.md,36:D 37:L 38:J 39:E 40:H 41:A 42:G 43:F 44:O 45:B,36:D 37:L 38:J 39:E 40:H 41:A 42:G 43:F 44:O 45:B,no
Apple's Stance Highlights a More Confrontational Tech Industry,batch1_review.md,36:E 37:M 38:C 39:H 40:B 41:J 42:G 43:P 44:I 45:D,36:E 37:M 38:C 39:H 40:B 41:J 42:G 43:P 44:I 45:D,no
Data sharing: An open mind on open data,batch2_review.md,36:M 37:G 38:D 39:A 40:P 41:L 42:B 43:O 44:I 45:F,36:M 37:G 38:D 39:A 40:P 41:L 42:B 43:O 44:I 45:F,no
Who's Really Addicting You to Technology?,batch2_review.md,36:E 37:L 38:I 39:O 40:B 41:J 42:F 43:D 44:L 45:G,36:E 37:L 38:I 39:O 40:B 41:J 42:F 43:D 44:L 45:G,no
Peer Pressure Has a Positive Side,batch2_review.md,36:H 37:C 38:L 39:J 40:G 41:A 42:I 43:F 44:K 45:D,36:H 37:C 38:L 39:J 40:G 41:A 42:I 43:F 44:K 45:D,no
Grow Plants Without Water,batch2_review.md,36:C 37:H 38:A 39:K 40:E 41:I 42:G 43:B 44:F 45:D,36:C 37:H 38:A 39:K 40:E 41:I 42:G 43:B 44:F 45:D,no
"In the real world, nobody cares that you went to an Ivy League school",batch2_review.md,36:J 37:G 38:C 39:K 40:B 41:H 42:N 43:A 44:E 45:I,36:J 37:G 38:C 39:K 40:B 41:H 42:N 43:A 44:E 45:I,no
"Resilience Is About How You Recharge, Not How You Endure",batch2_review.md,36:D 37:J 38:L 39:A 40:E 41:K 42:I 43:B 44:G 45:C,36:D 37:J 38:L 39:A 40:E 41:K 42:I 43:B 44:G 45:C,no
