signal,total,hit,accuracy,section_A,section_B,section_C
absolute,43,8,0.186,1/13=0.077,3/12=0.250,4/18=0.222
abstract_core,62,18,0.290,3/13=0.231,6/20=0.300,9/29=0.310
advice_plan,35,8,0.229,4/9=0.444,2/13=0.154,2/13=0.154
cause,16,2,0.125,,1/5=0.200,1/11=0.091
comparison,55,15,0.273,2/16=0.125,8/20=0.400,5/19=0.263
evaluation,38,13,0.342,2/9=0.222,1/4=0.250,10/25=0.400
example_broad,16,4,0.250,1/6=0.167,2/4=0.500,1/6=0.167
future,24,6,0.250,1/5=0.200,3/9=0.333,2/10=0.200
generic_abstract,39,8,0.205,1/9=0.111,4/15=0.267,3/15=0.200
negation,35,13,0.371,2/7=0.286,6/14=0.429,5/14=0.357
number,48,10,0.208,3/13=0.231,1/10=0.100,6/25=0.240
problem_risk,23,6,0.261,2/5=0.400,4/7=0.571,0/11=0.000
research,17,1,0.059,0/3=0.000,0/5=0.000,1/9=0.111
