key,question,answer,confidence,flags
2022.06.set1,2,B,high,question_range
2022.06.set1,20,B,high,question_range
2022.06.set1,24,D,high,section_or_part
2022.12.set1,3,A,high,question_range
2022.12.set1,6,C,high,question_range/section_or_part
2022.12.set1,10,A,high,question_range
2022.12.set1,17,A,high,question_range
2022.12.set1,20,A,high,question_range
2022.12.set2,2,A,high,question_range
2022.12.set2,7,B,high,question_range/section_or_part
2022.12.set2,17,A,high,question_range
2022.12.set2,19,B,high,question_range
2023.03.set1,17,C,high,question_range
2023.03.set1,20,D,high,question_range
2023.06.set1,2,B,high,question_range
2023.06.set1,6,C,high,question_range/section_or_part
2023.06.set1,10,B,high,question_range
2023.06.set1,17,C,high,question_range
2023.06.set1,20,C,high,question_range
2023.06.set1,25,A,high,section_or_part
2023.06.set2,2,A,high,question_range
2023.06.set2,13,B,high,question_range/section_or_part
2023.06.set2,17,B,high,question_range
2024.12.set1,2,D,high,question_range
2024.12.set1,10,B,high,question_range
2024.12.set1,14,A,high,question_range/section_or_part
2024.12.set1,17,B,high,question_range
2024.12.set2,2,C,high,question_range
2024.12.set2,7,D,high,question_range/section_or_part
2024.12.set2,10,B,high,question_range
2024.12.set2,17,C,high,question_range
