index,kind,start,end,content_start,content_end,line,end_line,ratio,units,low_width,structural,active_envs,inline_safe,skip_reason,preview
1,bracket,1126,2998,1128,2996,60,131,0.61,42.4,False,True,document,False,wide,\begin{cases} \text{基本概念} & \begin{cases} \text{随机试验} \ E: \text{可重复性、结果不唯一、所有结果已知、不确定性} \\ \text{样本空间} \ \Omega: \text{所有可能结果构成的集合} \\ \text{随机事件} \ A: \text{样本空间的子集} \begin{ca...
2,bracket,4310,4363,4312,4361,170,172,0.31,21.6,True,False,"definition,document",True,inline_safe,\Omega=\{\omega:\omega \text{ 是该随机试验的一个可能结果}\}.
3,bracket,6931,7054,6933,7052,225,227,0.57,39.6,False,False,document,False,wide,"A - B = A - AB = A\overline{B}, \quad B = \overline{A} \Leftrightarrow AB = \varnothing \text{ 且 } A \cup B = \Omega."
4,bracket,7491,7546,7493,7544,236,238,0.31,21.6,True,False,"document,enumerate",True,inline_safe,A \cap (B - C) = (A \cap B) - (A \cap C).
5,bracket,7716,7873,7718,7871,240,242,0.82,57.6,False,False,"document,enumerate",False,wide,\overline{\bigcup_{i=1}^{n} A_i} = \bigcap_{i=1}^{n} \overline{A_i}; \quad \overline{\bigcap_{i=1}^{n} A_i} = \bigcup_{i=1}^{n} \overline{A_i}.
6,bracket,8385,8432,8387,8430,260,262,0.2,13.8,True,False,"document,solution",True,inline_safe,\text{A、B、C 都发生} \Longleftrightarrow ABC.
7,bracket,8443,8464,8445,8462,265,267,0.07,4.8,True,False,"document,solution",True,inline_safe,\overline{ABC}.
8,bracket,8792,8820,8794,8818,288,290,0.2,14.0,True,False,"document,solution",True,inline_safe,A=\bigcap_{i=1}^{n}A_i
9,bracket,8952,9155,8954,9153,296,298,0.93,64.8,False,False,"document,solution",False,wide,\overline{A} = \overline{\bigcap_{i=1}^{n} A_i} = \overline{A_1 \cap A_2 \cap \dots \cap A_n} = \overline{A_1} \cup \overline{A_2} \cup \dots \cup \overline{A_n} = \bigcup_{i=1}...
10,bracket,9162,9200,9164,9198,301,303,0.18,12.8,True,False,"document,solution",True,inline_safe,\bigcup_{i=1}^{n}\overline{A_i}.
11,bracket,9553,9605,9555,9603,320,322,0.16,11.3,True,False,"document,solution",True,inline_safe,"\overline{A}\,\overline{B}=\overline{A\cup B}."
12,bracket,9656,9734,9658,9732,324,326,0.35,24.8,True,False,"document,solution",True,inline_safe,\overline{A\cup B}=\varnothing \quad\Longrightarrow\quad A\cup B=\Omega.
13,bracket,9993,10056,9995,10054,336,338,0.51,35.6,False,False,"document,solution",False,wide,"A-C=A-\Omega=\varnothing,\qquad B-C=B-\Omega=\varnothing,"
14,bracket,10125,10148,10127,10146,342,344,0.13,9.0,True,False,"document,solution",True,inline_safe,AC=BC=\varnothing
15,bracket,10485,10557,10487,10555,365,367,0.23,15.8,True,False,"document,solution",True,inline_safe,"\overline{A}\,\overline{B}\,\overline{C}=\overline{A\cup B\cup C}."
16,bracket,10583,10649,10585,10647,370,372,0.21,14.8,True,False,"document,solution",True,inline_safe,\overline{ABC}=\overline{A}\cup\overline{B}\cup\overline{C}.
17,bracket,10686,10740,10688,10738,375,377,0.17,11.8,True,False,"document,solution",True,inline_safe,"\overline{AB}\cap\overline{AC}\cap\overline{BC},"
18,bracket,10754,10899,10756,10897,379,381,0.4,28.3,True,False,"document,solution",True,inline_safe,"\overline{A}\,\overline{B}\,\overline{C}\cup A\overline{B}\,\overline{C}\cup\overline{A}\,B\,\overline{C}\cup\overline{A}\,\overline{B}\,C."
19,bracket,11925,11984,11927,11982,416,418,0.49,34.4,True,False,"document,solution",True,inline_safe,"A=\{\text{点落入 }[0,1]\},\qquad B=\{\text{点落入 }[1,2]\}."
20,bracket,12084,12131,12086,12129,425,427,0.53,36.8,False,False,"document,solution",False,wide,"AB=A\cap B=\{1\},\qquad P(AB)=P(\{1\})=0,"
21,bracket,12545,12586,12547,12584,446,448,0.2,13.7,True,False,"document,solution",True,inline_safe,"P(AB)=P(\overline{A}\,\overline{B})"
22,bracket,12696,12748,12698,12746,452,454,0.16,11.3,True,False,"document,solution",True,inline_safe,"\overline{A}\,\overline{B}=\overline{A\cup B},"
23,bracket,12752,12823,12754,12821,456,458,0.39,27.1,True,False,"document,solution",True,inline_safe,"P(\overline{A}\,\overline{B})=P(\overline{A\cup B})=1-P(A\cup B)."
24,bracket,12833,12866,12835,12864,461,463,0.35,24.2,True,False,"document,solution",True,inline_safe,"P(A\cup B)=P(A)+P(B)-P(AB),"
25,bracket,12871,12925,12873,12923,465,467,0.41,28.7,True,False,"document,solution",True,inline_safe,"P(\overline{A}\,\overline{B})=1-P(A)-P(B)+P(AB),"
26,bracket,12975,13005,12977,13003,469,471,0.37,26.2,True,False,"document,solution",True,inline_safe,P(AB)=1-P(A)-P(B)+P(AB).
27,bracket,13346,13370,13348,13368,485,487,0.28,19.6,True,False,"document,solution",True,inline_safe,P(A-B)=P(A)-P(AB).
28,bracket,13423,13464,13425,13462,489,491,0.41,28.6,True,False,"document,solution",True,inline_safe,P(\overline{AB})=1-P(AB)=1-0.4=0.6.
29,bracket,13820,13853,13822,13851,504,506,0.35,24.2,True,False,"document,solution",True,inline_safe,P(A\cup B)=P(A)+P(B)-P(AB).
30,bracket,14257,14305,14259,14303,519,521,0.55,38.4,False,False,"document,solution",False,wide,"A-B=A\overline B,\qquad P(A-B)=P(A)-P(AB),"
31,bracket,14308,14332,14310,14330,523,525,0.28,19.8,True,False,"document,solution",True,inline_safe,P(AB)=0.5-0.3=0.2.
32,bracket,14336,14386,14338,14384,527,530,0.33,23.4,True,False,"document,solution",False,normalized_width_not_low,P(A\cup B)=P(A)+P(B)-P(AB) =0.5+0.4-0.2=0.7.
33,bracket,15534,15620,15536,15618,559,561,0.46,32.0,True,False,"definition,document,enumerate",True,inline_safe,"P\!\left(\bigcup_{i=1}^{\infty} A_i\right) = \sum_{i=1}^{\infty} P(A_i),"
34,bracket,16141,16217,16143,16215,579,581,0.46,32.0,True,False,"document,enumerate,property",True,inline_safe,P\!\left(\bigcup_{i=1}^{n} A_i\right) = \sum_{i=1}^{n} P(A_i);
35,bracket,16299,16337,16301,16335,583,585,0.28,19.6,True,False,"document,enumerate,property",True,inline_safe,P(A - B) = P(A) - P(AB);
36,bracket,16669,16786,16671,16784,591,593,1.18,82.6,False,False,"document,enumerate,property",False,wide,P(A_1 \cup A_2 \cup A_3) = P(A_1) + P(A_2) + P(A_3) - P(A_1A_2) - P(A_1A_3) - P(A_2A_3) + P(A_1A_2A_3).
37,bracket,16842,16927,16844,16925,595,597,0.6,42.2,False,False,"document,enumerate,property",False,wide,P(A_1 \cup A_2 \cup \dots \cup A_n) = P(A_1) + P(A_2) + \dots + P(A_n).
38,bracket,17058,17152,17060,17150,602,604,0.4,28.0,True,False,"document,proof",True,inline_safe,P\!\left(\bigcup_{i=1}^{\infty} \varnothing\right) = \sum_{i=1}^{\infty} P(\varnothing).
39,bracket,17680,17738,17682,17736,620,622,0.55,38.4,False,False,"document,solution",False,wide,"P(A \cup B) = P(A) + P(B) - P(AB) = P(A) + P(B - A),"
40,bracket,17846,17878,17848,17876,626,628,0.25,17.6,True,False,"document,solution",True,inline_safe,"P(A \cup B) = P(A) + P(B),"
41,bracket,18395,18424,18397,18422,645,647,0.36,25.2,True,False,"document,solution",True,inline_safe,P(A-B)=P(A)-P(AB)=P(A).
42,bracket,18729,18754,18731,18752,656,658,0.22,15.1,True,False,"document,solution",True,inline_safe,"P(AB)\neq P(A)P(B),"
43,bracket,19101,19365,19103,19363,675,686,0.11,7.8,True,True,"document,solution",False,inline_unsafe_marker,\begin{array}{c|cccccc} B\setminus C & 1 & 2 & 3 & 4 & 5 & 6 \\ \midrule 1 & - & - & - & - & - & - \\ 2 & 0 & - & - & - & - & - \\ 3 & + & + & - & - & - & - \\ 4 & + & + & + & +...
44,bracket,19858,19924,19860,19922,711,713,0.57,39.6,False,False,"document,solution",False,wide,"\text{有利取法总数}=20+18=38,\qquad P=\frac{38}{80}=\frac{19}{40}."
45,bracket,20186,20262,20188,20260,726,728,0.66,46.2,False,False,"document,solution",False,wide,"P(A\overline{B}) = P(A) - P(AB) = P(A\cup B) - P(B) = 0.7 - 0.5 = 0.2,"
46,bracket,20263,20354,20265,20352,729,731,0.56,39.2,False,False,"document,solution",False,wide,P(\overline{A}\overline{B}) = P(\overline{A\cup B}) = 1 - P(A\cup B) = 1 - 0.7 = 0.3.
47,bracket,20779,20803,20781,20801,748,750,0.28,19.6,True,False,"document,solution",True,inline_safe,"P(A-B)=P(A)-P(AB),"
48,bracket,20896,20965,20898,20963,756,758,0.65,45.2,False,False,"document,solution",False,wide,"P(A\overline{B})=P(A)-P(AB),\qquad P(\overline{A}B)=P(B)-P(AB),"
