index,kind,start_line,end_line,ratio,units,low_width,structural,simple_inline_candidate,context,preview
1,bracket,91,94,0.67,47.0,False,False,False,不定积分 / 知识讲解 / 模法：有理分式与多项式逆元,"\frac{P(x)}{A(x)B(x)} =\frac{U(x)}{A(x)}+\frac{V(x)}{B(x)},\qquad (A,B)=1,"
2,bracket,96,99,0.84,59.0,False,False,False,不定积分 / 知识讲解 / 模法：有理分式与多项式逆元,"U(x)B(x)+V(x)A(x)=P(x),\qquad U(x)B(x)\equiv P(x)\pmod{A(x)}."
3,bracket,101,105,0.86,60.0,False,False,False,不定积分 / 知识讲解 / 模法：有理分式与多项式逆元,"B=\left[(x-a)^2F(x)\right]_{x=a}, \qquad A=\left[\frac{\mathrm d}{\mathrm{d}x}(x-a)^2F(x)\right]_{x=a}."
4,bracket,122,125,0.84,59.0,False,False,False,不定积分 / 知识讲解 / 模法：有理分式与多项式逆元,"U(x)B(x)+V(x)A(x)=P(x),\qquad U(x)B(x)\equiv P(x)\pmod{A(x)}."
5,bracket,151,154,1.24,87.0,False,False,False,不定积分 / 知识讲解 / 模法：有理分式与多项式逆元,"\int \frac{f'(x)}{f(x)}\,\mathrm{d}x=\ln|f(x)|+C,\qquad \int (ax+b)^n\,\mathrm{d}x=\frac{(ax+b)^{n+1}}{a(n+1)}+C\quad(n\neq -1)."
6,bracket,167,169,0.67,47.0,False,False,False,不定积分 / 知识讲解 / 模法：有理分式与多项式逆元,"\frac{P(x)}{A(x)B(x)}=\frac{U(x)}{A(x)}+\frac{V(x)}{B(x)},\qquad (A,B)=1,"
7,align*,181,186,1.21,85.0,False,True,False,不定积分 / 知识讲解 / 模法：有理分式与多项式逆元,"\int \mathrm e^{ax}\cos bx\,\mathrm{d}x &=\frac{\mathrm e^{ax}}{a^2+b^2}\bigl(a\cos bx+b\sin bx\bigr)+C,\\ \int \mathrm e^{ax}\sin bx\,\mathrm{d}x &=\frac{\mathrm e^{ax}}{a^2+b^2}\bigl(a\sin bx-b\cos bx\bigr)+C."
8,align*,190,196,2.51,176.0,False,True,False,不定积分 / 知识讲解 / 模法：有理分式与多项式逆元,"\int \frac{\mathrm{d}x}{x^2+a^2}&=\frac{1}{a}\arctan\frac{x}{a}+C,\qquad \int \frac{\mathrm{d}x}{x^2-a^2}=\frac{1}{2a}\ln\left|\frac{x-a}{x+a}\right|+C,\\ \int \frac{\mathrm{d}x}{\sqrt{a^2-x^2}}&=\arcsin\frac{x}{a}+C,\qq"
9,bracket,200,202,0.9,63.0,False,False,False,不定积分 / 知识讲解 / 模法：有理分式与多项式逆元,"y=\sqrt{a^2-x^2},\qquad x^2+y^2=a^2,\qquad x\,\mathrm{d}x+y\,\mathrm{d}y=0."
10,bracket,204,210,1.16,81.0,False,True,False,不定积分 / 知识讲解 / 模法：有理分式与多项式逆元,"y=\sqrt{x^2+a^2}\ \text{或}\ \sqrt{x^2-a^2}, \qquad y^2-x^2=a^2\ \text{或}\ x^2-y^2=a^2, \qquad x\,\mathrm{d}x=y\,\mathrm{d}y."
11,bracket,214,216,0.94,66.0,False,False,False,不定积分 / 知识讲解 / 模法：有理分式与多项式逆元,"\frac{\mathrm{d}x}{y},\qquad \frac{\mathrm{d}y}{x},\qquad x\,\mathrm{d}y-y\,\mathrm{d}x,\qquad y\,\mathrm{d}x-x\,\mathrm{d}y,"
12,bracket,219,222,1.3,91.0,False,False,False,不定积分 / 知识讲解 / 模法：有理分式与多项式逆元,"\frac{\mathrm{d}x}{y}=-\mathrm{d}\theta,\qquad \frac{\mathrm{d}y}{x}=\mathrm{d}\theta\quad(\text{实圆}),\qquad \frac{\mathrm{d}x}{y}=\mathrm{d}\phi,\qquad \frac{\mathrm{d}y}{x}=\mathrm{d}\phi\quad(\text{虚圆})"
13,bracket,224,232,1.49,104.0,False,True,False,不定积分 / 知识讲解 / 模法：有理分式与多项式逆元,"\mathrm{d}\!\left(\frac{x}{y}\right)=\frac{y\,\mathrm{d}x-x\,\mathrm{d}y}{y^2}, \qquad \int \frac{\mathrm{d}x}{y}= \begin{cases} \arctan\dfrac{x}{y}+C,& x^2+y^2=a^2,\\[4pt] \ln(x+y)+C,& y^2-x^2=a^2\ \text{或}\ x^2-y^2=a^2"
14,bracket,237,241,1.17,82.0,False,False,False,不定积分 / 知识讲解 / 模法：有理分式与多项式逆元,"\frac{1}{(1+x^2)^n},\qquad \frac{1}{(1-x^2)^n},\qquad \frac{x^{2n}}{\sqrt{1-x^2}},\qquad \frac{1}{x^{2n-1}\sqrt{1-x^2}}"
15,bracket,250,255,1.21,85.0,False,True,False,不定积分 / 知识讲解 / 模法：有理分式与多项式逆元,"t=\tan\frac{x}{2},\qquad \sin x=\frac{2t}{1+t^2},\qquad \cos x=\frac{1-t^2}{1+t^2},\qquad \mathrm{d}x=\frac{2}{1+t^2}\,\mathrm{d}t."
16,align*,331,336,1.89,132.0,False,True,False,不定积分 / 知识讲解 / 模法：有理分式与多项式逆元,"y&=\sqrt{a^2-x^2},\qquad x^2+y^2=a^2,\qquad x\,\mathrm{d}x+y\,\mathrm{d}y=0,\\ \frac{\mathrm{d}x}{y}&=-\mathrm{d}\theta,\qquad \frac{\mathrm{d}y}{x}=\mathrm{d}\theta,\qquad x\,\mathrm{d}y-y\,\mathrm{d}x=(x^2+y^2)\,\mathr"
