unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_sha256,voice_default_disclosure,mode,intensity,owner_chunk,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-7f0641f9b2ca,F00001,开头段,1,1,2,2,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-7f0641f9b2ca,,U-f1c638544b6c,0,1,SKIPPED_PROTECTED,6d4526ce01a9d02144ff83d92b0e8f3bd362277d88b292e7275e7e858ff78781,,,NOT_RUN,NOT_RUN,
U-f1c638544b6c,F00001,开头段 / 定性,1,3,4,2,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-f1c638544b6c,U-7f0641f9b2ca,U-0fa770b7823f,0,1,SKIPPED_PROTECTED,bb0c6aa284684e11d094d13634327f6d3fef60d4ec24d96546a6aec5e5d73277,,,NOT_RUN,NOT_RUN,
U-0fa770b7823f,F00001,开头段 / 定性 / 肯定作用,1,5,13,9,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-0fa770b7823f,U-f1c638544b6c,U-ae72e6401bd3,0,14,SKIPPED_PROTECTED,394664483295b47d1561d425ff47f53fa1a918d478d492fa50b4f2320623b897,,,NOT_RUN,NOT_RUN,
U-ae72e6401bd3,F00001,开头段 / 定性 / 契合需求,1,14,21,8,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-ae72e6401bd3,U-0fa770b7823f,U-54338823ef6a,5,9,PENDING,ff2163a22f70b5602db6ffdb63673c2c37790d984c51f2c80f77101348069cf3,,,NOT_RUN,NOT_RUN,
U-54338823ef6a,F00001,开头段 / 定性 / 反映强调,1,22,35,14,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-54338823ef6a,U-ae72e6401bd3,U-408520135450,12,25,PENDING,fc07a8321357b5266d211278b4d9d725e5559b2123616bca7a4a8ae6050e88b2,,,NOT_RUN,NOT_RUN,
U-408520135450,F00001,开头段 / 定性 / 促使号召,1,36,44,9,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-408520135450,U-54338823ef6a,U-88fd70db1e18,0,15,SKIPPED_PROTECTED,6b47217a7563aceda8f6ab51d17de5851a0d316653862056e1e0f9a6083674c0,,,NOT_RUN,NOT_RUN,
U-88fd70db1e18,F00001,开头段 / 定性 / 危机剖析,1,45,68,24,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-88fd70db1e18,U-408520135450,U-ebbcc33f85c6,7,40,PENDING,0471f1b868cb69d494d357faebd6ae312baff5dab457ef1be1c58b1857868b8e,,,NOT_RUN,NOT_RUN,
U-ebbcc33f85c6,F00001,开头段 / 定性 / 平衡双轨,1,69,90,22,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-ebbcc33f85c6,U-88fd70db1e18,U-567ac4722bbe,88,33,PENDING,850ecd32cc8cfa2a21758323ee645faeade2bb607bb2b603668f6e85b0145dc3,,,NOT_RUN,NOT_RUN,
U-567ac4722bbe,F00001,开头段 / 观点,1,91,92,2,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-567ac4722bbe,U-ebbcc33f85c6,U-e2920171c54c,0,1,SKIPPED_PROTECTED,ef3c7a161604725f37510aa284cd5052982856e0d1e74ada0799c743b0124c09,,,NOT_RUN,NOT_RUN,
U-e2920171c54c,F00001,开头段 / 观点 / 积极趋势,1,93,119,27,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-e2920171c54c,U-567ac4722bbe,U-69a791bc7324,96,40,PENDING,47bafec97078d6d7ebc14997158732b51b0eef62c94895a608e9d58b7da10d4d,,,NOT_RUN,NOT_RUN,
