unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-bc353709e690,F00001,(front-matter),1,1,19,19,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,U-bc353709e690,5ab49578e80c1cfba7b3585ab60da81c5c3970f8443572819b496c1f266b196d,,U-4bd3af2f0994,454,22,PENDING,cfbb9a1dc6a483ae3dc7f90629bdb8a2c42a3c4f9047c2fbe9b7c59de706c310,,,NOT_RUN,NOT_RUN,
U-4bd3af2f0994,F00001,问题重述,1,20,26,7,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,U-4bd3af2f0994,b08ef9bc903e167f6f7d2ddd1068be2bf2499b007687a750a006f35c67b90251,U-bc353709e690,U-a8cc1575e3f2,564,7,PENDING,d4e5be9ead13a8b68652cddbcc73000be3e2f794e5c5bcd998a2a0b3758c244d,,,NOT_RUN,NOT_RUN,
U-a8cc1575e3f2,F00001,问题分析,1,27,28,2,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,U-a8cc1575e3f2,720c63673cd2a4730ac7798d7895bfbc44319e2b845a76aca935490d997124ef,U-4bd3af2f0994,U-53a75f633a51,0,1,SKIPPED_PROTECTED,2758159d73e740a6e887dbb27935f7e2966f728dd47fa0e6f01c1e09404f41c4,,,NOT_RUN,NOT_RUN,
U-53a75f633a51,F00001,问题分析 / 总体分析,1,29,30,2,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,U-53a75f633a51,a3858f66871f6730f91bf796990e897eac2c91fed9e6d8a83fa8c25a0286d9a4,U-a8cc1575e3f2,U-0799f855522d,50,6,PENDING,ac4891a34c22d6a0a009bccda26b835294a6abff527c14df1915b79b671deb9d,,,NOT_RUN,NOT_RUN,
U-0799f855522d,F00001,问题分析 / 问题一分析,1,31,39,9,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,U-0799f855522d,7e1035d4a6d147b7d5d436880cc5b7c7e7e608f4d0c66bc555f91da317769ace,U-53a75f633a51,U-5776bc3fadbc,580,7,PENDING,46649b2e962c2411d40c13e508d71c518f6d0006079bc0d7614d29e79a8bf0ad,,,NOT_RUN,NOT_RUN,
U-5776bc3fadbc,F00001,问题分析 / 问题二分析,1,40,48,9,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,U-5776bc3fadbc,0e8ff6a14fd9b384406e57b4303e4275ea2f6c6fd53cafccba713600436f6ad8,U-0799f855522d,U-ffff47f9561d,555,12,PENDING,8a558cc41e71404c64f5eade8d78e00e3b1c9e74073e97a3f3020904cb321136,,,NOT_RUN,NOT_RUN,
U-ffff47f9561d,F00001,问题分析 / 问题三分析,1,49,57,9,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,U-ffff47f9561d,4de53466d0a69bd9318806bd0c273ae28d99f2183a2a5d9283dcc355a0c1cc2e,U-5776bc3fadbc,U-6fa010045c53,562,12,PENDING,48645fa79229e3c3204ea6e323b9594707888e677b23c30e5301390e66c8cd2c,,,NOT_RUN,NOT_RUN,
U-6fa010045c53,F00001,问题分析 / 问题四分析,1,58,68,11,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,U-6fa010045c53,45c176507c224090a8e4c514fed0d0b0b4689fe55c78a4a1592d73f197f14b2e,U-ffff47f9561d,U-97a798c6ce63,561,8,PENDING,f67f727847647e3fd97636b718587eab76f632b3618ac88959ab1876038c8123,,,NOT_RUN,NOT_RUN,
U-97a798c6ce63,F00001,问题分析 / 问题五分析,1,69,77,9,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,U-97a798c6ce63,fee16f8475083b2c727b2692fcffc13fec4858c906402624bb81d2088ede08ae,U-6fa010045c53,U-be719e2499b8,640,5,PENDING,48658d7ca1ba953637ce72e5f50e2aa01c2edd14b4acbadfe25abd2f1c50c27b,,,NOT_RUN,NOT_RUN,
U-be719e2499b8,F00001,模型假设,1,78,86,9,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,U-be719e2499b8,cc5c4cb3d70bcb4057c9a6f976e8bca31560bec82026b4fa93e0cd459f167f84,U-97a798c6ce63,U-576f0874aba8,213,8,PENDING,45d278decd82ec9763a2780d00c9547509200c9a1a9c24e5cb191f84b105fce1,,,NOT_RUN,NOT_RUN,
