unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-7f0641f9b2ca,F00001,开头段,1,1,2,2,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-7f0641f9b2ca,d7639188e50eee64fee8e5ad455cbb79a8583e4db584291f2b8952c6b4bf78a6,,U-f1c638544b6c,0,1,SKIPPED_PROTECTED,6d4526ce01a9d02144ff83d92b0e8f3bd362277d88b292e7275e7e858ff78781,,,NOT_RUN,NOT_RUN,
U-f1c638544b6c,F00001,开头段 / 定性,1,3,4,2,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-f1c638544b6c,c5c15a6bb0a3b42e222f2e29a3030b0d48671b02834f7e2ace233ad64230b710,U-7f0641f9b2ca,U-0fa770b7823f,0,1,SKIPPED_PROTECTED,bb0c6aa284684e11d094d13634327f6d3fef60d4ec24d96546a6aec5e5d73277,,,NOT_RUN,NOT_RUN,
U-0fa770b7823f,F00001,开头段 / 定性 / 肯定作用,1,5,13,9,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-0fa770b7823f,f72c3c6b693a60d585b646abb641d75275ffc9b56f7adce5b58485673a426287,U-f1c638544b6c,U-ae72e6401bd3,0,14,SKIPPED_PROTECTED,394664483295b47d1561d425ff47f53fa1a918d478d492fa50b4f2320623b897,,,NOT_RUN,NOT_RUN,
U-ae72e6401bd3,F00001,开头段 / 定性 / 契合需求,1,14,21,8,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-ae72e6401bd3,d210de8f9c0790dd9dfca09b9e40e8fe9ffb109bbe139bddcaf3d83d5b64cb5c,U-0fa770b7823f,U-54338823ef6a,5,9,PENDING,ff2163a22f70b5602db6ffdb63673c2c37790d984c51f2c80f77101348069cf3,,,NOT_RUN,NOT_RUN,
U-54338823ef6a,F00001,开头段 / 定性 / 反映强调,1,22,35,14,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-54338823ef6a,14da2c29339f012a7df3356e3b1e36fe72e4ec1d84f7bc3bef051b7d7b0e4d22,U-ae72e6401bd3,U-408520135450,12,25,PENDING,fc07a8321357b5266d211278b4d9d725e5559b2123616bca7a4a8ae6050e88b2,,,NOT_RUN,NOT_RUN,
U-408520135450,F00001,开头段 / 定性 / 促使号召,1,36,44,9,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-408520135450,4c5c19eeeffdff3f0d9d126fe1038469bedd96e3d096e8b322817e74628597ec,U-54338823ef6a,U-88fd70db1e18,0,15,SKIPPED_PROTECTED,6b47217a7563aceda8f6ab51d17de5851a0d316653862056e1e0f9a6083674c0,,,NOT_RUN,NOT_RUN,
U-88fd70db1e18,F00001,开头段 / 定性 / 危机剖析,1,45,68,24,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-88fd70db1e18,0456a52291aad587584d50ac72f3abc0efd2b19ec3cde0af9a8a45b7585cfa19,U-408520135450,U-ebbcc33f85c6,7,40,PENDING,0471f1b868cb69d494d357faebd6ae312baff5dab457ef1be1c58b1857868b8e,,,NOT_RUN,NOT_RUN,
U-ebbcc33f85c6,F00001,开头段 / 定性 / 平衡双轨,1,69,90,22,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-ebbcc33f85c6,c9467a747ebde6317158b579e575acde7e00244944c3dce370a7edac0736f60e,U-88fd70db1e18,U-567ac4722bbe,88,33,PENDING,850ecd32cc8cfa2a21758323ee645faeade2bb607bb2b603668f6e85b0145dc3,,,NOT_RUN,NOT_RUN,
U-567ac4722bbe,F00001,开头段 / 观点,1,91,92,2,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-567ac4722bbe,8b6a359fa48aa8e8db394491f6452a423de448ea1e788beb7156bb18b5fb38c4,U-ebbcc33f85c6,U-e2920171c54c,0,1,SKIPPED_PROTECTED,ef3c7a161604725f37510aa284cd5052982856e0d1e74ada0799c743b0124c09,,,NOT_RUN,NOT_RUN,
U-e2920171c54c,F00001,开头段 / 观点 / 积极趋势,1,93,119,27,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-e2920171c54c,f50126a3521e5b2f380c714c9f315c18ebfaa2b00eddafaad67416858a22bc49,U-567ac4722bbe,U-69a791bc7324,96,40,PENDING,47bafec97078d6d7ebc14997158732b51b0eef62c94895a608e9d58b7da10d4d,,,NOT_RUN,NOT_RUN,
