unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,structural_plan_status,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-b126b8d3a7ac,F00001,GPT/Codex 中文风格深度语料报告,1,1,6,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-b126b8d3a7ac,43abd93397ac101308dd678ce311440833aa9f1a048397aaf680f697f3f790e0,,U-239618736032,14,3,PENDING,0bc017fd4a653b338cc26940176ffba29ff00f481d0a32942d0304c0ba066a89,,,NOT_RUN,NOT_RUN,
U-239618736032,F00001,GPT/Codex 中文风格深度语料报告 / 1. 执行摘要,1,7,12,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-239618736032,b171c25beba983eca6a41b530820557212d1bb5fbc91ca6d0bed2b51c083219d,U-b126b8d3a7ac,U-775dbbaa0990,137,2,PENDING,f6f9f8f024f994df11fdd29406cd5a97381b73f36ef2ff6affc522b7f0acae34,,,NOT_RUN,NOT_RUN,
U-775dbbaa0990,F00001,GPT/Codex 中文风格深度语料报告 / 2. 数据审计与隐私处理,1,13,28,16,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-775dbbaa0990,114e083d77ff05724ce9efa3af5c78c326f7fab4c2431d2f8f903cf39cef3bef,U-239618736032,U-0ddac53a282b,116,2,PENDING,8abed31f15755ca4650923ad1ded7b4f9764358deef5fbca8160ddc98dde0f1f,,,NOT_RUN,NOT_RUN,
U-0ddac53a282b,F00001,GPT/Codex 中文风格深度语料报告 / 3. 样本构成,1,29,30,2,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-0ddac53a282b,b75e722bd8c7a6679f9a1179de2a581f19d3d1088562cbce0c88d16ac8a2314f,U-775dbbaa0990,U-ea9d478b840b,0,1,SKIPPED_PROTECTED,37fa16e76a56b40b269f59d2b2b722e6ba16e601234497bf6ca62b5ea426284f,,,NOT_RUN,NOT_RUN,
U-ea9d478b840b,F00001,GPT/Codex 中文风格深度语料报告 / 3. 样本构成 / 消息阶段,1,31,38,8,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-ea9d478b840b,6149ae802f2b3808acbdc5a59f6328489050a89ca40875fa42c55a64e84d797d,U-0ddac53a282b,U-af035e62c904,5,1,PENDING,cdc4c2ab4b37704a331c997cc94a2f35418e151477e2d3b674fd3795857a9b7e,,,NOT_RUN,NOT_RUN,
U-af035e62c904,F00001,GPT/Codex 中文风格深度语料报告 / 3. 样本构成 / 模型与人格,1,39,65,27,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-af035e62c904,65099fcd7da23d2bd49444c5f7078424c9054c0ae73ce31e2398a8c1e0917626,U-ea9d478b840b,U-185eb071fbc1,69,2,PENDING,d0200ea2187091d29e01ac3fa6274c3d52452544705676eb645c1069b109136e,,,NOT_RUN,NOT_RUN,
U-185eb071fbc1,F00001,GPT/Codex 中文风格深度语料报告 / 4. 全局语言画像,1,66,71,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-185eb071fbc1,878f2325fe0e623dfc85e76a4de07e2f4489cdfd499eb1175e8cca2a915bcd49,U-af035e62c904,U-befb2e378a6c,118,5,PENDING,b550c8408925e474f22028367dbb28bd1190ca722caf7ff1ff78483eb0e63b82,,,NOT_RUN,NOT_RUN,
U-befb2e378a6c,F00001,GPT/Codex 中文风格深度语料报告 / 5. 数据驱动高频短语,1,72,110,39,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-befb2e378a6c,3ba1785734f9235faa6fdc1b95b3a0f2dd4a660815d02a42045fe9f375cd4bf1,U-185eb071fbc1,U-f54ddf45a47e,164,3,PENDING,f3459ce5a9f8e38f3ccd2164dad3904ecef390048d08884df1cbbbdb244d3af3,,,NOT_RUN,NOT_RUN,
U-f54ddf45a47e,F00001,GPT/Codex 中文风格深度语料报告 / 6. 修辞结构与功能词簇,1,111,122,12,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-f54ddf45a47e,f99a7e5975140b9c6ee8330a8b5fc110a19193f88a5b02e6194729b10a63e162,U-befb2e378a6c,U-cc853abad895,187,7,PENDING,5e21eca7034d1c3b4e4652d858cf0f3880d5c8221c3d0d93d73c8109529f5d3a,,,NOT_RUN,NOT_RUN,
U-cc853abad895,F00001,GPT/Codex 中文风格深度语料报告 / 7. 分组差异,1,123,188,66,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-cc853abad895,82a40f06353a6f5f204fe965bc709c04658027974c109d05c8e86b39a618a1a4,U-f54ddf45a47e,U-d9ebfba45bc9,166,6,PENDING,0de887ba0c58a4b4274328bf0409303ca6bd3e8852c876cc0be726f4e03f8c00,,,NOT_RUN,NOT_RUN,
