unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,structural_plan_status,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-aa435212ef4d,F00001,(front-matter),1,1,55,55,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-aa435212ef4d,bb512e03e535ce4d22e110aea3a3183b85d27d0d703d82ceb2e6fa3634cfa630,,U-646da92f10b7,47,69,PENDING,222c88fb0f583396b4ed2ba563de5a0bff92595d24e991a69b02f2c02b4ccaec,,,NOT_RUN,NOT_RUN,
U-646da92f10b7,F00001,质点运动学,1,56,57,2,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-646da92f10b7,14be23ec8f73e88f9fc308ee4586495a707d73c706fc94fdf7a6bd0dc166c909,U-aa435212ef4d,U-ed1a94537f6d,0,1,SKIPPED_PROTECTED,2198fd832478c330d5c082982d107769eefc3963e06a49975b2481e786ca9fb9,,,NOT_RUN,NOT_RUN,
U-ed1a94537f6d,F00001,质点运动学 / 位置矢量,1,58,82,25,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-ed1a94537f6d,9b9c14ff71a0d1dee0c1e5ba01a28b206cff63b8ef888dcd5c09d6a7581a52d5,U-646da92f10b7,U-ce3d3487f98c,0,2,SKIPPED_PROTECTED,c182e702cbefd3dcc80cb1b49da81b5261b315945c52c81c8b5028c6c718113d,,,NOT_RUN,NOT_RUN,
U-ce3d3487f98c,F00001,质点运动学 / 切向加速度/法向加速度,1,83,244,162,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-ce3d3487f98c,749ad16fc548906e916743ad53b49e0f418924b70237d518f1789a8c4265d2d5,U-ed1a94537f6d,U-d3976169c4f3,777,132,PENDING,8e44e3a4f146bcf6025b923912f827400c331f48804f83eb3ff6154b7e1864f5,,,NOT_RUN,NOT_RUN,
U-d3976169c4f3,F00001,质点动力学基础,1,245,246,2,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-d3976169c4f3,e585133d868a4e1039690123cb5f260e47e000e8859717ae9ae11746533a1821,U-ce3d3487f98c,U-44d7754f7bea,0,1,SKIPPED_PROTECTED,f278ec0879a544efafda161cfc06efdd22365efc8cb607d7df2f93a45c2f0572,,,NOT_RUN,NOT_RUN,
U-44d7754f7bea,F00001,质点动力学基础 / 惯性与惯性系,1,247,446,200,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-44d7754f7bea,3fc65e64d25b12a542168edb5d252b96b17b090417f8f817126549cdcf492bb9,U-d3976169c4f3,U-9a738d92f17c,1318,198,PENDING,66dca729b0a6c7a1c3c0a4ace24a346b822ad633eef982821d00c208a2ec8b4e,,,NOT_RUN,NOT_RUN,
U-9a738d92f17c,F00001,三大守恒定律,1,447,450,4,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-9a738d92f17c,5b7f6cd49a2566694955cc837b68986e53d467d3e846ff3bc780d197b2e914af,U-44d7754f7bea,U-d89844bec906,0,1,SKIPPED_PROTECTED,9d12a9c6acd23cf50931582b90fdb4562e115d9f13607b2791eec7ed6698eb3f,,,NOT_RUN,NOT_RUN,
U-d89844bec906,F00001,三大守恒定律 / 动量与动量守恒,1,451,624,174,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-d89844bec906,f69e167fc1d87b15a38a4ade0a2186f7cb3fc3e640aa6299144ceb74bb7c246c,U-9a738d92f17c,U-5a46996ce9b1,2140,201,PENDING,5e956ed1d6af95622f6301e0f9050cba29efc4677fb6def63c2d2c6fab971b2f,,,NOT_RUN,NOT_RUN,
U-5a46996ce9b1,F00001,三大守恒定律 / 质心：为什么系统还能用一个点代表整体平移,1,625,669,45,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-5a46996ce9b1,00e063f754ec7face74a9cf915e94aafffc259341d8e3ebcf4436c2c99b7d540,U-d89844bec906,U-93a175ff5d21,501,46,PENDING,ecc8eff76759ab26bb497c3d2619690cbfcc8042ce18ed49137a6832eef5e68f,,,NOT_RUN,NOT_RUN,
U-93a175ff5d21,F00001,三大守恒定律 / 变力做功,1,670,752,83,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-93a175ff5d21,e3101d2d8b166740bb97161659ed014847a6e3faca88612b1bef0b1d630511a9,U-5a46996ce9b1,U-5a952dcdf732,1054,116,PENDING,aa197b71c3ae69ffe1eb95e5e61ba145d559cc70fd8f8c2f78f04957e51b2bb7,,,NOT_RUN,NOT_RUN,
