unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,structural_plan_status,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-aa435212ef4d,F00001,(front-matter),1,1,55,55,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-aa435212ef4d,bb346d6562a6183269e8a24f9e4ba1c097002ee29766f22bbd98f0a98417a3df,,U-646da92f10b7,47,69,PENDING,222c88fb0f583396b4ed2ba563de5a0bff92595d24e991a69b02f2c02b4ccaec,,,NOT_RUN,NOT_RUN,
U-646da92f10b7,F00001,质点运动学,1,56,57,2,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-646da92f10b7,5468c480b8c556f2447ab68e97f3e81b96025235d9e20d9a503da1ea659ecefa,U-aa435212ef4d,U-ed1a94537f6d,0,1,SKIPPED_PROTECTED,2198fd832478c330d5c082982d107769eefc3963e06a49975b2481e786ca9fb9,,,NOT_RUN,NOT_RUN,
U-ed1a94537f6d,F00001,质点运动学 / 位置矢量,1,58,82,25,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-ed1a94537f6d,3facf821ca69c2882c08eba4ae32779705cb3e5f1864c82044e5f09742a483b3,U-646da92f10b7,U-ce3d3487f98c,0,2,SKIPPED_PROTECTED,c182e702cbefd3dcc80cb1b49da81b5261b315945c52c81c8b5028c6c718113d,,,NOT_RUN,NOT_RUN,
U-ce3d3487f98c,F00001,质点运动学 / 切向加速度/法向加速度,1,83,244,162,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-ce3d3487f98c,f8f0ea506212b4a6f0d0de23c22b00a51eceec0131b1394242d9221907aa1c90,U-ed1a94537f6d,U-d3976169c4f3,777,132,PENDING,8e44e3a4f146bcf6025b923912f827400c331f48804f83eb3ff6154b7e1864f5,,,NOT_RUN,NOT_RUN,
U-d3976169c4f3,F00001,质点动力学基础,1,245,246,2,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-d3976169c4f3,d821cfa7eed121c6a7a4ec798232a89f601c39166f341f49a1d0102c06170d29,U-ce3d3487f98c,U-8f95df80144c,0,1,SKIPPED_PROTECTED,f278ec0879a544efafda161cfc06efdd22365efc8cb607d7df2f93a45c2f0572,,,NOT_RUN,NOT_RUN,
U-8f95df80144c,F00001,质点动力学基础 / 惯性与惯性系,1,247,422,176,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-8f95df80144c,71125ff9895c5ff6d2978e8a47460effb18f5a6976728ada603b1e19a232593d,U-d3976169c4f3,U-e12deb1fc2ba,1158,179,PENDING,bed1ec975128fc502eee096249078225adf187154300cfeb3115b5cf346f8d74,,,NOT_RUN,NOT_RUN,
U-e12deb1fc2ba,F00001,质点动力学基础 / 惯性与惯性系,2,423,446,24,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-e12deb1fc2ba,08e47ef115d05e11d5d6218ac3e80df63caf49832fdce012f7a3dfd7be37f4c0,U-8f95df80144c,U-9a738d92f17c,160,19,PENDING,0e4842692e5ff11f5a7432e4b08626db94aee35df1ecc08c5b8ac9be43ea2031,,,NOT_RUN,NOT_RUN,
U-9a738d92f17c,F00001,三大守恒定律,1,447,450,4,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-9a738d92f17c,5f76348f74ac40f70e9e5182000c77881fbd29a854657300d38ea6a78eacb692,U-e12deb1fc2ba,U-f5cf5b07d05b,0,1,SKIPPED_PROTECTED,9d12a9c6acd23cf50931582b90fdb4562e115d9f13607b2791eec7ed6698eb3f,,,NOT_RUN,NOT_RUN,
U-f5cf5b07d05b,F00001,三大守恒定律 / 动量与动量守恒,1,451,511,61,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-f5cf5b07d05b,1f95f9076a3d01eea6773cc41f13ea1e1cccb43f399f5c65d9f8933afe17f671,U-9a738d92f17c,U-2c53eacb68be,745,72,PENDING,307a079cd38650f9fe64e2270f88c8f81bacde57efec51449f7d73c2331a87f7,,,NOT_RUN,NOT_RUN,
U-2c53eacb68be,F00001,三大守恒定律 / 动量与动量守恒,2,512,569,58,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-2c53eacb68be,6200af1f7a489447dbbec1b186c27c787f50685007d4b843984e0e37961faf69,U-f5cf5b07d05b,U-5931ea911f8e,978,89,PENDING,717a07c2b90115555c72f03e4fac4a855c4534a6124d821f167bf045847dc4a8,,,NOT_RUN,NOT_RUN,
