"script","path","exit_code","stdout","stderr"
"audit_humanize_generation_qualification.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\audit_humanize_generation_qualification.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\audit_humanize_generation_qualification.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\audit_humanize_generation_qualification.stderr.log"
"build_humanize_action_profile.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\build_humanize_action_profile.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\build_humanize_action_profile.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\build_humanize_action_profile.stderr.log"
"build_humanize_generator_projection.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\build_humanize_generator_projection.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\build_humanize_generator_projection.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\build_humanize_generator_projection.stderr.log"
"build_humanize_voice_profile.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\build_humanize_voice_profile.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\build_humanize_voice_profile.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\build_humanize_voice_profile.stderr.log"
"check_humanize_invariants.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\check_humanize_invariants.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\check_humanize_invariants.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\check_humanize_invariants.stderr.log"
"extract_detector_report_scope.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\extract_detector_report_scope.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\extract_detector_report_scope.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\extract_detector_report_scope.stderr.log"
"finalize_humanize_long_document.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\finalize_humanize_long_document.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\finalize_humanize_long_document.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\finalize_humanize_long_document.stderr.log"
"load_humanize_negative_guards.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\load_humanize_negative_guards.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\load_humanize_negative_guards.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\load_humanize_negative_guards.stderr.log"
"prepare_humanize_candidate_revision.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\prepare_humanize_candidate_revision.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\prepare_humanize_candidate_revision.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\prepare_humanize_candidate_revision.stderr.log"
"prepare_humanize_long_document.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\prepare_humanize_long_document.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\prepare_humanize_long_document.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\prepare_humanize_long_document.stderr.log"
