unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,mode,intensity,owner_chunk,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-bc353709e690,F00001,(front-matter),1,1,19,19,MODELING,REWRITE,BALANCED,U-bc353709e690,,U-4bd3af2f0994,454,22,PENDING,cfbb9a1dc6a483ae3dc7f90629bdb8a2c42a3c4f9047c2fbe9b7c59de706c310,,,NOT_RUN,NOT_RUN,
U-4bd3af2f0994,F00001,问题重述,1,20,26,7,MODELING,REWRITE,BALANCED,U-4bd3af2f0994,U-bc353709e690,U-a8cc1575e3f2,564,7,PENDING,d4e5be9ead13a8b68652cddbcc73000be3e2f794e5c5bcd998a2a0b3758c244d,,,NOT_RUN,NOT_RUN,
U-a8cc1575e3f2,F00001,问题分析,1,27,28,2,MODELING,REWRITE,BALANCED,U-a8cc1575e3f2,U-4bd3af2f0994,U-53a75f633a51,0,1,SKIPPED_PROTECTED,2758159d73e740a6e887dbb27935f7e2966f728dd47fa0e6f01c1e09404f41c4,,,NOT_RUN,NOT_RUN,
U-53a75f633a51,F00001,问题分析 / 总体分析,1,29,30,2,MODELING,REWRITE,BALANCED,U-53a75f633a51,U-a8cc1575e3f2,U-0799f855522d,50,6,NO_CHANGE,ac4891a34c22d6a0a009bccda26b835294a6abff527c14df1915b79b671deb9d,ac4891a34c22d6a0a009bccda26b835294a6abff527c14df1915b79b671deb9d,,PASS,PASS,保护跨度和结构锁定，当前单元没有可确认的纯文风改动。
U-0799f855522d,F00001,问题分析 / 问题一分析,1,31,39,9,MODELING,REWRITE,BALANCED,U-0799f855522d,U-53a75f633a51,U-5776bc3fadbc,580,7,PENDING,46649b2e962c2411d40c13e508d71c518f6d0006079bc0d7614d29e79a8bf0ad,,,NOT_RUN,NOT_RUN,
U-5776bc3fadbc,F00001,问题分析 / 问题二分析,1,40,48,9,MODELING,REWRITE,BALANCED,U-5776bc3fadbc,U-0799f855522d,U-ffff47f9561d,555,12,PENDING,8a558cc41e71404c64f5eade8d78e00e3b1c9e74073e97a3f3020904cb321136,,,NOT_RUN,NOT_RUN,
U-ffff47f9561d,F00001,问题分析 / 问题三分析,1,49,57,9,MODELING,REWRITE,BALANCED,U-ffff47f9561d,U-5776bc3fadbc,U-6fa010045c53,562,12,PENDING,48645fa79229e3c3204ea6e323b9594707888e677b23c30e5301390e66c8cd2c,,,NOT_RUN,NOT_RUN,
U-6fa010045c53,F00001,问题分析 / 问题四分析,1,58,68,11,MODELING,REWRITE,BALANCED,U-6fa010045c53,U-ffff47f9561d,U-97a798c6ce63,561,8,PENDING,f67f727847647e3fd97636b718587eab76f632b3618ac88959ab1876038c8123,,,NOT_RUN,NOT_RUN,
U-97a798c6ce63,F00001,问题分析 / 问题五分析,1,69,77,9,MODELING,REWRITE,BALANCED,U-97a798c6ce63,U-6fa010045c53,U-be719e2499b8,640,5,PENDING,48658d7ca1ba953637ce72e5f50e2aa01c2edd14b4acbadfe25abd2f1c50c27b,,,NOT_RUN,NOT_RUN,
U-be719e2499b8,F00001,模型假设,1,78,86,9,MODELING,REWRITE,BALANCED,U-be719e2499b8,U-97a798c6ce63,U-576f0874aba8,213,8,PENDING,45d278decd82ec9763a2780d00c9547509200c9a1a9c24e5cb191f84b105fce1,,,NOT_RUN,NOT_RUN,
U-576f0874aba8,F00001,符号说明,1,87,116,30,MODELING,REWRITE,BALANCED,U-576f0874aba8,U-be719e2499b8,U-9f65fd693826,232,54,PENDING,31efebac4cde5bfe9e9bc63b8b61fe564af30af0f26ed8a0ecf3ce8eb54f1adb,,,NOT_RUN,NOT_RUN,
U-9f65fd693826,F00001,问题一的模型建立与求解,1,117,118,2,MODELING,REWRITE,BALANCED,U-9f65fd693826,U-576f0874aba8,U-7214640f1f64,0,1,SKIPPED_PROTECTED,832b0ba59c491e467d876a3c15b2a8f37b951d1bf94c10432408dd45c8009ef1,,,NOT_RUN,NOT_RUN,
U-7214640f1f64,F00001,问题一的模型建立与求解 / 模型建立,1,119,182,64,MODELING,REWRITE,BALANCED,U-7214640f1f64,U-9f65fd693826,U-b6c587f2dc92,990,133,PENDING,9af89c33ba30c35b69fb1efa3e92b346c2f09ba77e280a7f7492bf7e3bec8fe8,,,NOT_RUN,NOT_RUN,
U-b6c587f2dc92,F00001,问题一的模型建立与求解 / 校准与锚点一致性检验,1,183,185,3,MODELING,REWRITE,BALANCED,U-b6c587f2dc92,U-7214640f1f64,U-fb217707a491,289,16,PENDING,aa9295018c0a3ceb75fa7eabaabbc5ad867a407f3e315853e72e23575e910ce1,,,NOT_RUN,NOT_RUN,
U-fb217707a491,F00001,问题一的模型建立与求解 / 结果与机制解释,1,186,210,25,MODELING,REWRITE,BALANCED,U-fb217707a491,U-b6c587f2dc92,U-d991425f019f,318,36,PENDING,306b022b33c10811f545f281978ca397e5de49d39e299eb89c664e1a794241ec,,,NOT_RUN,NOT_RUN,
U-d991425f019f,F00001,问题二的模型建立与求解,1,211,212,2,MODELING,REWRITE,BALANCED,U-d991425f019f,U-fb217707a491,U-f1e62a593777,0,1,SKIPPED_PROTECTED,6553cddc35af650a90095cde44dbd808a011c3f07d63c753ea586bfac237d1c6,,,NOT_RUN,NOT_RUN,
U-f1e62a593777,F00001,问题二的模型建立与求解 / 模型建立,1,213,257,45,MODELING,REWRITE,BALANCED,U-f1e62a593777,U-d991425f019f,U-b1bcaa2c520d,408,51,PENDING,3eea3d106cd7a75894e84a60b5230e1f5fa47a0f356d4df339990995b8eda438,,,NOT_RUN,NOT_RUN,
U-b1bcaa2c520d,F00001,问题二的模型建立与求解 / 情景结果与机制讨论,1,258,283,26,MODELING,REWRITE,BALANCED,U-b1bcaa2c520d,U-f1e62a593777,U-7f480a2afc64,469,42,PENDING,71b951cf66e78a5a677ebfed36f4b0856b7a6e8d48f0b46116815e793358f008,,,NOT_RUN,NOT_RUN,
U-7f480a2afc64,F00001,问题三的模型建立与求解,1,284,285,2,MODELING,REWRITE,BALANCED,U-7f480a2afc64,U-b1bcaa2c520d,U-6155380cb66f,0,1,SKIPPED_PROTECTED,94c68e1b7ca2e75940599c49fa54483d4c183f64786528468f0676704ac833c7,,,NOT_RUN,NOT_RUN,
U-6155380cb66f,F00001,问题三的模型建立与求解 / 模型建立,1,286,300,15,MODELING,REWRITE,BALANCED,U-6155380cb66f,U-7f480a2afc64,U-89a64dc325a2,57,6,PENDING,8b4a646ba1633f70efb89194429008494d770a7a296f5ca7700ad97cbfa5485a,,,NOT_RUN,NOT_RUN,
U-89a64dc325a2,F00001,问题三的模型建立与求解 / 求解与结果,1,301,329,29,MODELING,REWRITE,BALANCED,U-89a64dc325a2,U-6155380cb66f,U-b5465182c7aa,386,59,PENDING,8f222e98d99e095d6e25b79fe61bcc1564d339404666b3f9ec052e83b883beb3,,,NOT_RUN,NOT_RUN,
U-b5465182c7aa,F00001,问题四的模型建立与求解,1,330,331,2,MODELING,REWRITE,BALANCED,U-b5465182c7aa,U-89a64dc325a2,U-db7b49c17be6,0,1,SKIPPED_PROTECTED,a73a69564531a3633c4f2a117e1899172535a4abcb3409434f15bae9d6d1eac3,,,NOT_RUN,NOT_RUN,
U-db7b49c17be6,F00001,问题四的模型建立与求解 / 模型建立,1,332,333,2,MODELING,REWRITE,BALANCED,U-db7b49c17be6,U-b5465182c7aa,U-95084a03a998,148,7,PENDING,2667bd9044ddcbf6ed871cae12bfa99929447de2efbfa7de163487a365a64c11,,,NOT_RUN,NOT_RUN,
U-95084a03a998,F00001,问题四的模型建立与求解 / 求解与结果,1,334,356,23,MODELING,REWRITE,BALANCED,U-95084a03a998,U-db7b49c17be6,U-12d30ebf3e5c,424,55,PENDING,72360a8d7fcc7f34eaf3039e43539315855de7547e0482cd349bf9ef821ad660,,,NOT_RUN,NOT_RUN,
U-12d30ebf3e5c,F00001,问题五的模型建立与求解,1,357,358,2,MODELING,REWRITE,BALANCED,U-12d30ebf3e5c,U-95084a03a998,U-f6353b464560,0,1,SKIPPED_PROTECTED,e4af519f6ab0bdee575447415597d7f1c6fde93b6dbefc3c0ab07b869819b59d,,,NOT_RUN,NOT_RUN,
U-f6353b464560,F00001,问题五的模型建立与求解 / 模型建立,1,359,363,5,MODELING,REWRITE,BALANCED,U-f6353b464560,U-12d30ebf3e5c,U-11dff3242168,335,6,PENDING,3a4541e4eba0ad7ebdb4a8cb0beb728761a13868cf27660d306c00cb3e948fe2,,,NOT_RUN,NOT_RUN,
U-11dff3242168,F00001,问题五的模型建立与求解 / 求解与结果,1,364,404,41,MODELING,REWRITE,BALANCED,U-11dff3242168,U-f6353b464560,U-ba3cabd45d13,447,88,PENDING,1aceb0c9d0f4229675283a31632467a2300efd7aa93430ddaf11624177033148,,,NOT_RUN,NOT_RUN,
U-ba3cabd45d13,F00001,模型的优缺点分析和优化,1,405,406,2,MODELING,REWRITE,BALANCED,U-ba3cabd45d13,U-11dff3242168,U-d7149da6462b,0,1,SKIPPED_PROTECTED,3b124753ebd553ea3ff49331f42e05fd5cb9865a3a77d0b92338ead2c72c956f,,,NOT_RUN,NOT_RUN,
U-d7149da6462b,F00001,模型的优缺点分析和优化 / 问题一模型的分析与改进,1,407,410,4,MODELING,REWRITE,BALANCED,U-d7149da6462b,U-ba3cabd45d13,U-ae69c441cf02,472,22,PENDING,07599aab66ea8454dceba315bc6eaee9dda347efdc5bb12e4ea8e59d118a923b,,,NOT_RUN,NOT_RUN,
U-ae69c441cf02,F00001,模型的优缺点分析和优化 / 问题二模型的分析与改进,1,411,415,5,MODELING,REWRITE,BALANCED,U-ae69c441cf02,U-d7149da6462b,U-e681006b4335,437,7,PENDING,ebecdc8efd0e3a037b6ad7afc3a9dc970061727a57e4c8fa619c57876f4a5613,,,NOT_RUN,NOT_RUN,
U-e681006b4335,F00001,模型的优缺点分析和优化 / 问题三模型的分析与改进,1,416,420,5,MODELING,REWRITE,BALANCED,U-e681006b4335,U-ae69c441cf02,U-29bed5d4287a,415,9,PENDING,24391458f9c7aac3947d947e83b5091e2841a55e191c7ebc4dcdbdbab8e72192,,,NOT_RUN,NOT_RUN,
U-29bed5d4287a,F00001,模型的优缺点分析和优化 / 问题四模型的分析与改进,1,421,425,5,MODELING,REWRITE,BALANCED,U-29bed5d4287a,U-e681006b4335,U-3bd50e5e57d9,426,14,PENDING,d61b4dddf0b6f36a600299090371eb7ce7f3119c064e7e113ce503cfd7b72c8d,,,NOT_RUN,NOT_RUN,
U-3bd50e5e57d9,F00001,模型的优缺点分析和优化 / 问题五模型的分析与改进,1,426,430,5,MODELING,REWRITE,BALANCED,U-3bd50e5e57d9,U-29bed5d4287a,U-3c07adb6d7bd,553,19,PENDING,fe53ad74914b5e700f550b2efa9c5ce0c868349965394437cea995ec56ad9b9b,,,NOT_RUN,NOT_RUN,
U-3c07adb6d7bd,F00001,参考文献,1,431,438,8,MODELING,REWRITE,BALANCED,U-3c07adb6d7bd,U-3bd50e5e57d9,U-04e3b5c61b5f,2,8,PENDING,91e1ea0c368ec6a5457c5bbbb219ca43dd070a0e674b244bf9c6c26bbe2f10c2,,,NOT_RUN,NOT_RUN,
