page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image    3590  2813  rgb     3   8  jpeg   no        39  0   434   434 2313K 7.8%
   1     1 image     286   265  rgb     3   8  image  no        47  0   173   173 26.8K  12%
   1     2 smask     286   265  gray    1   8  image  no        47  0   173   173  334B 0.4%
  45     3 image     176   154  rgb     3   8  image  no      1536  0   120   120 1700B 2.1%
  46     4 image     140   148  rgb     3   8  image  no      1540  0   116   116 2439B 3.9%
  48     5 image     200   279  rgb     3   8  image  no      1547  0   149   149 8291B 5.0%
  48     6 image     174   160  rgb     3   8  image  no      1548  0   162   162 3086B 3.7%
  50     7 image     426   566  rgb     3   8  image  no      1555  0   289   289 14.9K 2.1%
  70     8 image     146   247  rgb     3   8  image  no      1618  0    99    99 2346B 2.2%
  73     9 image     185   153  rgb     3   8  image  no      1628  0   120   120 3718B 4.4%
  74    10 image     506   386  rgb     3   8  image  no      1632  0   315   315 8446B 1.4%
  75    11 image     846   476  rgb     3   8  image  no      1636  0   506   506 3544B 0.3%
  75    12 image     746   616  rgb     3   8  image  no      1637  0   464   464 19.2K 1.4%
  76    13 image     526   311  rgb     3   8  image  no      1641  0   342   342 10.8K 2.3%
  77    14 image     187   230  rgb     3   8  image  no      1645  0   127   127 5480B 4.2%
  97    15 image     163   227  rgb     3   8  image  no      1706  0   111   111 3899B 3.5%
  98    16 image     506   576  rgb     3   8  image  no      1710  0   315   315 13.7K 1.6%
  99    17 image     181   155  rgb     3   8  image  no      1714  0   123   123 4878B 5.8%
 100    18 image     191    73  rgb     3   8  image  no      1718  0    95    95 2313B 5.5%
 101    19 image     181   103  rgb     3   8  image  no      1722  0   113   113 1730B 3.1%
 102    20 image     232   174  rgb     3   8  image  no      1726  0   144   144 3734B 3.1%
 103    21 image     446   486  rgb     3   8  image  no      1730  0   238   238 14.7K 2.3%
 104    22 image     240   151  rgb     3   8  image  no      1734  0   149   149 2212B 2.0%
 105    23 image     164   171  rgb     3   8  image  no      1738  0   111   111 3363B 4.0%
 119    24 image     406   446  rgb     3   8  image  no      1782  0   276   276 19.9K 3.7%
 121    25 image     576   546  rgb     3   8  image  no      1789  0   307   307 25.3K 2.7%
 126    26 image     666   386  rgb     3   8  image  no      1805  0   355   355 17.6K 2.3%
 127    27 image     338   364  rgb     3   8  image  no      1809  0   168   168 13.9K 3.9%
 128    28 image     496   446  rgb     3   8  image  no      1813  0   309   309 18.8K 2.9%
 142    29 image    2526  1023  rgb     3   8  image  no      1856  0   385   385  113K 1.5%
 144    30 image     816   616  rgb     3   8  image  no      1863  0   222   222 49.7K 3.4%
 163    31 image     246   170  rgb     3   8  image  no      1921  0   123   123 6203B 4.9%
 167    32 image     740   345  rgb     3   8  image  no      1935  0   461   461 7697B 1.0%
 168    33 image     656   381  rgb     3   8  image  no      1939  0   288   288 20.8K 2.8%
 169    34 image     177   124  rgb     3   8  image  no      1943  0    83    83 5489B 8.3%
 185    35 image     456   386  rgb     3   8  image  no      1992  0   227   227 12.3K 2.4%
 187    36 image     242   212  rgb     3   8  image  no      1999  0   139   139 3693B 2.4%
 197    37 image     536   606  rgb     3   8  image  no      2030  0   286   286 15.0K 1.6%
 198    38 image     616   496  rgb     3   8  image  no      2034  0   368   368 17.0K 1.9%
 200    39 image     426   536  rgb     3   8  image  no      2041  0   227   227 11.6K 1.7%
 201    40 image     185   156  rgb     3   8  image  no      2045  0   115   115 2148B 2.5%
 207    41 image     177   113  rgb     3   8  image  no      2064  0   110   110 2382B 4.0%
 219    42 image     390   270  rgb     3   8  image  no      2101  0   208   208 10.7K 3.5%
 231    43 image     242   547  rgb     3   8  image  no      2138  0   145   145 10.0K 2.6%
 242    44 image     626   491  rgb     3   8  image  no      2172  0   390   390 13.6K 1.5%
 262    45 image     676   456  rgb     3   8  image  no      2234  0   337   337 21.9K 2.4%
 268    46 image     367   265  rgb     3   8  image  no      2253  0   196   196 9.90K 3.5%
 272    47 image     259   169  rgb     3   8  image  no      2266  0   129   129 6166B 4.7%
 273    48 image     435   250  rgb     3   8  image  no      2270  0   232   232 7687B 2.4%
 274    49 image     491   406  rgb     3   8  image  no      2274  0   229   229 11.3K 1.9%
 276    50 image     416   386  rgb     3   8  image  no      2281  0   207   207 10.5K 2.2%
 279    51 image     626   506  rgb     3   8  image  no      2291  0   334   334 19.1K 2.1%
 286    52 image     636   541  rgb     3   8  image  no      2313  0   279   279 19.0K 1.9%
 287    53 image     406   456  rgb     3   8  image  no      2317  0   253   253 6556B 1.2%
