idx,headword,ipa,start_line,end_line,breakdown_count,family_count,cognate_count,sense_count,bad_pos_count,sense_missing_phrase,sense_missing_example,junk_hits,ok_breakdown,ok_family,ok_sense,ok_per_sense,ok_no_junk,ok_all
1,abduct,æb'dʌkt,564,573,1,1,3,2,0,0,0,,1,1,1,1,1,1
2,conducive,kən'dju:siv,577,586,1,1,3,2,0,0,0,,1,1,1,1,1,1
3,induce,in'dju:s,590,605,1,1,3,4,0,0,0,,1,1,1,1,1,1
4,traduce,trə'dju:s,609,618,1,1,3,2,0,0,0,,1,1,1,1,1,1
5,aqueduct,'ækwidʌkt,622,631,1,1,3,2,0,0,0,,1,1,1,1,1,1
6,conduction,kən'dʌkʃn,635,647,1,1,3,3,0,0,0,,1,1,1,1,1,1
7,conductor,kən'dʌktə(r),651,663,1,1,3,3,0,0,0,,1,1,1,1,1,1
8,deduct,di'dʌkt,667,676,1,1,3,2,0,0,0,,1,1,1,1,1,1
9,deductible,di'dʌktəbl,680,689,1,1,3,2,0,0,0,,1,1,1,1,1,1
10,deduction,di'dʌkʃn,693,702,1,1,3,2,0,0,0,,1,1,1,1,1,1
11,deductive,di'dʌktiv,706,715,1,1,3,2,0,0,0,,1,1,1,1,1,1
12,ductile,'dʌktail,719,728,1,1,3,2,0,0,0,,1,1,1,1,1,1
13,induct,in'dʌkt,732,747,1,1,3,4,0,0,0,,1,1,1,1,1,1
14,induction,in'dʌkʃn,751,766,1,1,3,4,0,0,0,,1,1,1,1,1,1
15,inductive,in'dʌktiv,770,779,1,1,3,2,0,0,0,,1,1,1,1,1,1
16,introduction,ˌintrə'dʌkʃn,783,798,1,1,3,4,0,0,0,,1,1,1,1,1,1
17,introductory,ˌintrə'dʌktəri,802,811,1,1,3,2,0,0,0,,1,1,1,1,1,1
18,oviduct,'əuvidʌkt,815,821,1,1,3,1,0,0,0,,1,1,1,1,1,1
19,product,'prɔdʌkt,825,837,1,1,3,3,0,0,0,,1,1,1,1,1,1
20,production,prə'dʌkʃn,841,853,1,1,3,3,0,0,0,,1,1,1,1,1,1
21,productive,prə'dʌktiv,857,869,1,1,3,3,0,0,0,,1,1,1,1,1,1
22,productivity,ˌprɔdʌk'tivəti,873,882,1,1,3,2,0,0,0,,1,1,1,1,1,1
23,seduction,si'dʌkʃn,886,895,1,1,3,2,0,0,0,,1,1,1,1,1,1
24,seductive,si'dʌktiv,899,908,1,1,3,2,0,0,0,,1,1,1,1,1,1
25,reduction,ri'dʌkʃn,912,921,1,1,3,2,0,0,0,,1,1,1,1,1,1
26,viaduct,'vaiədʌkt,925,934,1,1,3,2,0,0,0,,1,1,1,1,1,1
27,adduce,ə'dju:s,938,944,1,1,3,1,0,0,0,,1,1,1,1,1,1
28,deduce,di'dju:s,948,955,1,1,4,1,0,0,0,,1,1,1,1,1,1
29,deducible,di'dju:səbl,959,965,1,1,3,1,0,0,0,,1,1,1,1,1,1
30,Duce,'du:tʃi,969,975,1,1,4,1,0,0,0,,1,1,1,1,1,1
31,educational,ˌedju'keiʃənl,979,988,1,1,3,2,0,0,0,,1,1,1,1,1,1
32,educator,'edjuˌkeitə(r),992,1001,1,1,3,2,0,0,0,,1,1,1,1,1,1
33,educe,i'dju:s,1005,1011,1,1,3,1,0,0,0,,1,1,1,1,1,1
